Date,Open,High,Low,Close,Volume
2017-10-03,723.9892964407416,728.9143936954405,691.1881607486099,696.9505004882812,35367877
2017-10-04,699.5114508674625,700.1024383745748,688.5284620806582,693.1088256835938,3613280
2017-10-05,693.9954584122974,693.9954584122974,675.8218370920546,684.145263671875,2680742
2017-10-06,683.5049138775662,691.4835461307522,678.6782952764789,686.3121948242188,1416485
2017-10-09,683.701951458638,691.9761385875837,683.701951458638,688.183837890625,951473
2017-10-10,687.8883047088236,690.6956461968751,685.1302622896274,689.5136108398438,555002
2017-10-11,689.5136137853987,692.4686721301932,675.7233415096907,679.56494140625,1077409
2017-10-12,680.7469182430542,683.603498698044,674.7383236428819,677.3978881835938,439314
2017-10-13,678.6290943729491,684.6376883699514,669.8131591511361,679.3678588867188,1344510
2017-10-16,675.7233570739849,679.1216862729374,658.9780260677783,660.0615234375,971834
2017-10-17,660.4555585521722,663.9031267176198,658.978029338409,662.9673461914062,664335
2017-10-18,660.9480504455,662.7703123782827,654.2006912664766,658.3870239257812,415712
2017-10-19,656.1213374524964,668.089346101082,656.1213374524964,664.9865112304688,93358
2017-10-23,659.962959964952,663.7060214450689,655.0378632487956,655.8258666992188,292330
2017-10-24,653.8558443902723,661.3912666030595,653.0678409201115,655.8751220703125,350373
2017-10-25,657.0079217233944,663.3613087027529,648.241225256272,659.864501953125,583868
2017-10-26,659.8645257493653,659.8645257493653,650.6053192618851,656.8601684570312,242175
2017-10-27,653.2648655725105,656.0721467603329,649.1277721477102,652.2798461914062,396395
2017-10-30,655.0378767406667,655.0378767406667,640.164108399842,645.1876831054688,1164020
2017-10-31,645.9757855673579,658.978055182568,645.9757855673579,652.181396484375,1402840
2017-11-01,654.0528402878637,654.8900826766555,632.6286696910851,637.3567504882812,859011
2017-11-02,637.3567871925363,643.8086522024042,631.5944477829869,633.1212158203125,574130
2017-11-03,633.4166655459957,643.7101295266276,631.4958658361769,632.628662109375,672547
2017-11-06,633.0227493584315,650.0143342204859,633.0227493584315,646.9114990234375,483071
2017-11-07,649.1278321463301,649.1278321463301,629.9691913888645,632.7272338867188,763293
2017-11-08,639.2775439514022,639.2775439514022,619.5771573889554,622.13818359375,843603
2017-11-09,623.5172605785997,660.3570090276187,623.5172605785997,648.093505859375,356798
2017-11-10,645.2861780276193,669.0251813875898,645.2861780276193,666.4148559570312,784443
2017-11-13,655.037841796875,670.6011348860828,653.0678031749295,655.037841796875,192279
2017-11-14,645.3846513618744,657.7466314373595,644.2026161887429,650.1127319335938,350594
2017-11-15,640.3611400985106,650.1620959517176,634.7465771574216,639.6223754882812,269314
2017-11-16,638.883611148718,649.3248537168744,633.1705101846873,640.1641845703125,261879
2017-11-17,643.2176903955898,653.7574103634478,635.4360128187413,649.6695556640625,3200674
2017-11-20,647.4532828638045,655.0379447748344,646.6652793153064,651.5411376953125,712433
2017-11-21,650.1128162638956,685.9675471485937,650.1128162638956,677.151611328125,2077453
2017-11-22,678.6783807082596,688.4793359661629,670.9460023058454,682.7662353515625,669175
2017-11-23,678.6783099114848,678.6783099114848,654.0528269683975,656.318359375,827451
2017-11-24,657.9929853786502,660.4062950288278,645.1877326691855,645.8772583007812,599114
2017-11-27,645.729427288995,652.7723397380347,642.0848436448822,643.9071655273438,239417
2017-11-28,643.2177399385865,656.9587741252976,642.2327204287266,643.6610107421875,269211
2017-11-29,644.2519351898223,648.5368057098007,641.05062209687,646.3697509765625,258606
2017-11-30,655.973685816661,655.973685816661,644.0549149249085,645.0892333984375,316178
2017-12-01,648.1427353463985,648.1427353463985,642.4788740572772,646.07421875,86648
2017-12-04,650.112764007603,655.8258641519927,643.2668675745732,651.8365478515625,162592
2017-12-05,650.1127988254876,652.2306145669562,643.7594117218943,649.2262573242188,125688
2017-12-06,644.2519015317829,650.112778758388,644.2519015317829,646.2711791992188,210799
2017-12-07,645.2862171541283,659.9630309962519,641.2476614605373,658.3870239257812,279051
2017-12-08,654.1021019578551,679.5648887967527,654.1021019578551,675.4277954101562,480717
2017-12-11,669.813197596332,672.5220009689642,660.9972618685117,664.641845703125,122163
2017-12-12,660.9972056240225,671.7831792505202,660.9479666819634,665.9223022460938,121938
2017-12-13,660.9972775891325,671.7832523899374,647.1577665985175,665.2328491210938,260250
2017-12-14,664.9865804095838,672.7682578058836,663.2135574937017,669.7147216796875,444539
2017-12-15,670.3057403785916,680.6484446753958,667.8431917364954,678.6784057617188,351667
2017-12-18,671.2415296500649,683.6035119706149,655.0379473493645,681.78125,259324
2017-12-19,677.7917533264443,689.4150291124113,677.7917533264443,686.8539428710938,343970
2017-12-20,681.781262425033,693.2074644334416,681.781262425033,686.7063598632812,531872
2017-12-21,682.9138956774262,693.8476464123777,682.9138956774262,691.2865600585938,259491
2017-12-22,683.6034641674946,693.3551802839153,683.6034641674946,692.3208618164062,390144
2017-12-26,692.2223686754745,697.1967045158602,686.7555231455295,691.1881103515625,272983
2017-12-27,689.5135773920452,691.4836161845939,684.6869583019758,689.9568481445312,163978
2017-12-28,686.5585537506709,692.4686704257125,680.205166300838,688.4301147460938,269410
2017-12-29,685.0317045093104,694.8326588589122,682.6183951286333,684.9331665039062,667407
2018-01-01,683.6035110877189,692.4686863035538,683.6035110877189,689.0211181640625,174646
2018-01-02,689.021095928097,689.6613826102376,669.9116948089988,674.8367919921875,342012
2018-01-03,674.7875766823262,684.5885324443622,670.0594952450033,680.1559448242188,125483
2018-01-04,684.1945241096823,691.68070842001,679.6634584351094,691.0896606445312,411800
2018-01-05,689.5135264668414,694.3401452004326,688.5285071433174,691.434326171875,195946
2018-01-08,681.6333705880508,696.3101825290936,681.6333705880508,693.6013793945312,310252
2018-01-09,689.6613797401978,709.1647524802984,689.6613797401978,706.5051879882812,605429
2018-01-10,704.141071247148,704.2888482006894,695.5221517761606,700.9397583007812,297500
2018-01-11,696.4087269868274,703.993388512827,688.5285716602439,693.2566528320312,113144
2018-01-12,693.2567046871272,698.3788180566997,689.5136426511845,691.2374267578125,93456
2018-01-15,690.9911486037234,713.7450739962322,690.9911486037234,706.0126953125,764541
2018-01-16,705.2738358469932,705.2738358469932,685.5734493708202,690.3507690429688,338329
2018-01-17,685.5734467775169,704.0917979709088,681.2886367834806,694.6848754882812,232397
2018-01-18,696.0146200778192,701.3337483976977,689.6119945657615,697.1966552734375,323715
2018-01-19,694.4879213897846,703.25461816683,690.941875570313,700.84130859375,293534
2018-01-22,693.5520897161135,706.2588631857711,691.3357962123926,703.944091796875,464739
2018-01-23,699.3637427856515,711.1839750580851,699.3637427856515,706.160400390625,399677
2018-01-24,700.5457258288616,703.5992615566846,687.543459274017,692.0745239257812,200051
2018-01-25,691.9761169129534,696.4087041387304,651.2455894533059,671.8324584960938,424803
2018-01-29,671.7832750149264,679.1216820520827,669.813236085264,671.635498046875,143914
2018-01-30,671.4876633852206,671.4876633852206,653.3632843639723,657.8944091796875,339031
2018-01-31,659.9630204479083,671.2907439332082,643.9564546534627,650.7531127929688,324432
2018-02-01,655.037892694737,711.1839977828573,650.605305450938,698.083251953125,1539000
2018-02-02,697.7878328385967,722.2655431895327,680.7469475142856,707.5394897460938,1772440
2018-02-05,705.7171337008064,705.7171337008064,679.663359560171,684.6376953125,352909
2018-02-06,659.9629777114797,694.4386556516316,655.0378808628865,684.834716796875,399206
2018-02-07,689.5628827491591,704.2889361658822,689.5628827491591,703.0084228515625,315230
2018-02-08,706.3573348964428,709.2139149912588,700.3979799960251,704.288818359375,159852
2018-02-09,689.5136635691405,706.8992821346047,688.5286440497559,699.265380859375,159318
2018-02-12,698.3787687184939,707.2439434977132,671.2907346708796,675.5263061523438,689547
2018-02-14,678.6783608743759,684.5884772245156,669.3206766533214,672.0294799804688,312807
2018-02-15,674.7383336902066,684.5885283426184,663.115116024524,672.1773071289062,282049
2018-02-16,677.6932864073268,684.1451508743978,675.3785150732992,678.924560546875,226925
2018-02-19,689.5135945623176,694.4386916663342,668.434154908801,674.9845581054688,423633
2018-02-20,676.7083621553638,679.6634205053872,659.963031505231,664.5433959960938,172882
2018-02-21,669.8132026045522,672.71902190472,652.5261238850239,665.380615234375,428939
2018-02-22,664.8881298533461,665.2821616823264,654.0529158853657,656.219970703125,235890
2018-02-23,659.9630139786494,669.5669533611745,656.1707132451576,665.57763671875,288608
2018-02-26,669.8131699764654,679.4171088106868,664.1493086126939,671.980224609375,271771
2018-02-27,671.2907267463761,680.4513952192659,665.8731200008074,679.1216430664062,219932
2018-02-28,679.0724331520826,688.2331020166123,671.8817430675309,684.0960083007812,360647
2018-03-01,685.4750912223822,685.5735691236413,675.7233741649683,679.6634521484375,272512
2018-03-05,678.6783738066925,678.6783738066925,656.0229273661208,662.4747924804688,301455
2018-03-06,667.8432718161437,671.8818280251095,641.2477432924919,645.237060546875,245988
2018-03-07,647.1577176180239,650.0635367456458,640.3118210619816,642.8236083984375,192215
2018-03-08,643.8087384626878,649.5711387651212,637.3076336362109,643.5132446289062,113706
2018-03-09,647.6502477419132,664.2970994508287,640.8043509697563,660.2584838867188,483527
2018-03-12,660.1599999277686,679.5648937211059,658.7809487486396,668.3848876953125,163349
2018-03-13,666.8580762799816,674.7382308002767,661.932979704797,667.3505859375,73256
2018-03-14,662.918045944356,673.2607494843496,657.5004393281688,664.0508422851562,305570
2018-03-15,662.4255739565249,666.6119065800419,660.9972837431619,664.8881225585938,140732
2018-03-16,664.8880831929846,667.2028546935538,656.0229087504114,658.4362182617188,150189
2018-03-19,656.4661638547551,671.5861869676577,656.4661638547551,664.0015258789062,138766
2018-03-20,658.9780127642242,678.1858920600424,658.38702514191,676.3143310546875,167488
2018-03-21,675.8217258637388,680.6483445404966,660.5046875874593,662.8195190429688,395902
2018-03-22,664.8881254726347,668.8282032532132,652.1321116338484,654.939453125,147381
2018-03-23,650.1620616758112,663.8046168313159,648.1427838718021,654.54541015625,225060
2018-03-26,650.260622516879,659.4212914981804,649.1278260861561,653.1663818359375,186540
2018-03-27,657.0078973386786,670.6011521560067,656.0721169449939,662.8687744140625,369173
2018-03-28,658.9288081904091,700.3488662444134,654.0529496291007,668.0894775390625,446572
2018-04-02,670.7981440993669,684.5884143158004,670.7981440993669,673.6547241210938,263227
2018-04-03,677.7052219166475,677.7052219166475,666.8382285622989,671.7777709960938,783770
2018-04-04,672.8149465130562,682.59526295974,668.9126966056565,671.728271484375,520436
2018-04-05,672.2716922110098,679.3352616631653,665.9984977471497,666.8381958007812,514819
2018-04-06,671.4319458007812,676.7172314457712,665.8502394079559,671.4319458007812,667025
2018-04-09,667.3814727864161,676.7172187394024,666.8381352541556,670.493408203125,886583
2018-04-10,669.8019711451194,691.4865750432447,669.8019711451194,687.2879638671875,955511
2018-04-11,682.6447753057361,711.2941218815195,682.6447753057361,710.3062133789062,715637
2018-04-12,704.9220335329551,715.9372364176387,703.3907875576728,710.3555297851562,665026
2018-04-13,705.3666658261628,711.2941167994919,697.8091417163085,703.0451049804688,681889
2018-04-16,693.5117158394706,703.884754324249,693.5117158394706,700.3283081054688,389870
2018-04-17,701.4150045289878,714.2578144710678,699.6367813656676,712.6771850585938,307669
2018-04-18,707.2436936894798,715.7396823633395,704.4281183880229,712.6277465820312,241773
2018-04-19,707.3917879575253,716.1841967145373,705.2678211052453,714.1589965820312,228583
2018-04-20,709.318268137408,713.2205185800447,701.513767252135,707.4906616210938,114992
2018-04-23,703.48961349177,716.2336571657163,703.48961349177,708.281005859375,523622
2018-04-24,708.3303313472635,745.8708510002566,706.3051311622546,736.9796752929688,1182526
2018-04-25,740.8326006247295,759.5040349037822,737.0291167606852,756.836669921875,1763048
2018-04-26,757.7257041787238,761.7267209353633,733.6701599836923,753.5764770507812,1352072
2018-04-27,740.931290264826,765.2338124666551,735.9917483297271,749.6742553710938,700854
2018-04-30,746.8587271405631,753.6258753509563,723.148926278958,734.1146850585938,448784
2018-05-02,727.594482595108,748.4887678231104,727.594482595108,737.52294921875,514382
2018-05-03,737.5229804842768,742.9564765113217,707.5893689765304,723.14892578125,259083
2018-05-04,716.2336004414769,720.1358507377938,691.6346568040084,693.6104736328125,405214
2018-05-07,695.4875336816744,705.9593389051824,687.8806267226021,695.0923461914062,291749
2018-05-08,700.3283203539335,700.3283203539335,683.879620635817,693.956298828125,256284
2018-05-09,696.3766699730845,700.4270703796946,682.6447188044696,691.4865112304688,1771037
2018-05-10,694.4008467573209,710.3061480680823,684.6205293618651,705.11962890625,589720
2018-05-11,702.4522778078345,707.2436698765039,687.6336513427351,689.8564453125,402458
2018-05-14,693.5117516184051,696.0309061781022,679.6810329251606,682.79296875,226655
2018-05-15,681.6567992118742,690.5479748537682,664.0720416684459,670.6910400390625,579274
2018-05-16,665.8502818139284,674.7414576838473,657.0084893060799,659.5770874023438,632333
2018-05-17,661.9974221199424,671.4813793307513,657.4530674107177,661.602294921875,203078
2018-05-18,660.9107170924218,665.5538986142336,655.0326500752952,657.1566772460938,224549
2018-05-21,654.9833230195225,698.1549357063324,639.1767873207104,647.2776489257812,297261
2018-05-22,648.067964279891,661.8986830297669,647.9691975505372,651.97021484375,403662
2018-05-23,656.7615377239296,675.7293923763802,651.3280411478037,670.8392333984375,355517
2018-05-24,665.5045892615854,678.5449333045511,663.4793285863346,670.0983276367188,75038
2018-05-25,666.8381507538514,679.6809595831849,664.911717370023,675.5811157226562,91418
2018-05-28,673.5066029247716,689.9058594931896,671.6789963646271,677.0630493164062,824327
2018-05-29,672.1729609036245,694.0057144198961,671.7777733886538,686.8927612304688,1042346
2018-05-30,686.1023788942658,690.3503729244634,676.8160158818073,685.90478515625,209019
2018-05-31,682.0025050133094,689.8070050938431,662.4419317510645,681.4591674804688,205322
2018-06-01,680.5701539377467,684.2748106177014,665.5045501059307,667.8261108398438,250207
2018-06-04,668.0237155420259,671.7777556465034,650.5377236665037,652.0689697265625,635824
2018-06-05,652.0688870728632,664.6647183946369,652.019503715343,656.9590454101562,189718
2018-06-06,660.9106657398067,678.100294617814,653.9953075033662,674.8401489257812,174179
2018-06-07,681.6074291848001,688.5721715144339,672.8644034542854,683.6326293945312,339268
2018-06-08,677.2112447681317,688.4734252551257,673.3089943179888,683.9783935546875,231427
2018-06-11,680.1749629934211,705.3666282894737,679.8786025199556,703.884765625,872476
2018-06-12,699.6367116099606,721.0743350507028,699.6367116099606,711.1952514648438,678290
2018-06-13,707.0461091034595,721.0744215373829,691.5359339539204,693.7587280273438,584484
2018-06-14,693.4623909600754,693.4623909600754,677.705238159189,681.55810546875,463811
2018-06-15,677.063027224719,680.7676838856053,660.0216065846421,663.6768798828125,4172714
2018-06-18,668.5176494078405,675.7787522795406,661.8986508400113,663.7262573242188,159457
2018-06-19,658.9349243529317,671.7777339730038,658.9349243529317,665.3069458007812,382091
2018-06-20,665.3069335019851,677.7051720388946,665.3069335019851,668.023681640625,294569
2018-06-21,668.023707217813,677.4582208737971,666.8382050161327,667.2827758789062,192773
2018-06-22,670.5922784664834,684.1266369905643,670.5922784664834,676.9149169921875,159149
2018-06-25,677.7051336959722,690.4491756350591,669.5055063826941,681.4097900390625,173207
2018-06-26,681.4098853195163,685.9542402836139,670.1971480054273,676.4209594726562,141038
2018-06-27,673.3090329544817,680.5207530183025,666.3442900181695,669.5549926757812,216975
2018-06-28,672.8644302951898,672.8644302951898,650.0931522735095,658.3422241210938,255422
2018-06-29,657.9470334116241,676.7172941245684,657.9470334116241,666.196044921875,162407
2018-07-02,667.134531594748,675.5811363696791,652.8592431310502,661.305908203125,125314
2018-07-03,662.3926069920564,666.245474015119,657.6012751915837,662.1456298828125,84524
2018-07-04,659.9228191340003,663.8744527815093,653.4026477344681,656.0205688476562,133985
2018-07-05,661.8986366703931,662.3925908768636,654.9832777798068,657.057861328125,134614
2018-07-06,661.7010687941328,661.8986625438738,656.2181889474151,659.9722290039062,166887
2018-07-09,656.9591234732488,661.8986657550026,652.7605125337582,656.8109130859375,134065
2018-07-10,661.602281947145,661.602281947145,652.0195581990332,653.3532104492188,330679
2018-07-11,651.9702102029137,656.020610831972,651.9702102029137,654.0941772460938,294280
2018-07-12,656.2181488910692,659.2806407851022,653.40263409485,656.6627197265625,138269
2018-07-13,653.9954098754802,656.9591352978766,651.0316844530837,653.056884765625,98347
2018-07-16,653.106217902368,653.550788740967,647.0800007924711,648.2655029296875,55711
2018-07-17,647.2776067883719,657.9470056310685,646.5860588371386,656.5145263671875,56942
2018-07-18,658.9348538094275,659.9227621359785,632.2613289925541,641.35009765625,273188
2018-07-19,642.1404872796475,649.006463010759,623.3702268822424,626.0869750976562,190097
2018-07-20,624.3581549401165,630.2856057781556,620.4065210480904,625.3954467773438,295830
2018-07-23,625.839941929876,649.2533819667913,622.3822626926943,644.857177734375,128365
2018-07-24,644.610286602772,650.1919936630961,639.5719774470351,646.7343139648438,98615
2018-07-25,647.7716266088422,656.7615699940229,643.2272112526849,651.7726440429688,309730
2018-07-26,654.9832589418271,673.7535182478523,650.2906941153208,665.0599365234375,349706
2018-07-27,676.5196838948207,689.2637268188919,664.5166325937796,685.6578369140625,378854
2018-07-30,685.6578300929468,695.042960127451,676.2233166966375,681.0146484375,111734
2018-07-31,674.9391293665095,703.09452287244,674.2969646940046,677.7052612304688,300404
2018-08-01,682.7434669622941,699.6861200379474,678.6436833055535,686.9420776367188,141857
2018-08-02,682.84237231838,696.4754976599532,677.2606651331671,686.7940063476562,156616
