Date,Open,High,Low,Close,Volume
2022-05-17,853.7745923039846,899.7433165364677,842.0254006667737,856.9566650390625,48792877
2022-05-18,867.0414173774907,872.3775207864986,855.8307178689104,858.03369140625,8919761
2022-05-19,848.8791057458338,848.8791057458338,820.4852256228475,823.275634765625,7372427
2022-05-20,830.8146609945376,838.8922298494172,807.7568854879584,808.8828735351562,7078291
2022-05-23,808.8828927766449,834.8779666669988,786.8531590120268,799.7772216796875,12444648
2022-05-24,800.9032239406718,817.2541941319431,799.7772358467438,805.8966064453125,4287864
2022-05-25,814.1210137133788,823.8630630512607,797.2315519135523,803.1550903320312,4013031
2022-05-26,803.1550238750987,807.5609700670059,784.2584221594796,794.6858520507812,2796468
2022-05-27,801.4416159202535,807.4141567298425,797.3293874427188,804.4278564453125,2215807
2022-05-30,812.5545120769226,823.8141537373527,808.0506195570641,820.2404174804688,3133717
2022-05-31,793.0704445620895,804.8196363333797,793.0704445620895,794.34326171875,4373090
2022-06-01,794.4410742476981,800.364612153557,791.601662808789,793.4619750976562,1670031
2022-06-02,793.0214010505172,796.79090902898,787.1957489169612,788.8602294921875,1565763
2022-06-03,791.7485657985026,793.8046501467132,783.2793340948141,783.5241088867188,2052785
2022-06-06,783.5241800827287,784.9438859566732,758.8998098758071,761.102783203125,3033514
2022-06-07,756.7458172927339,756.7458172927339,736.0867877244,737.26171875,3774512
2022-06-08,737.1638666038563,737.1638666038563,720.7149510085721,722.6242065429688,4103499
2022-06-09,714.6445311669049,720.6170123930035,705.0493111834417,706.6159057617188,3729113
2022-06-10,698.0977145572328,704.7066340148224,693.251161669773,694.86669921875,3464178
2022-06-13,676.459766320363,676.459766320363,653.059267899627,654.2831420898438,7781730
2022-06-14,650.2197798278542,669.7038785611272,649.1427945702154,660.2066040039062,5348769
2022-06-15,666.7665601466224,694.866719346987,664.906247749032,675.725341796875,9204318
2022-06-16,688.7473660205559,691.2440571077897,653.059187097586,655.3600463867188,4049782
2022-06-17,655.1152665151127,655.3600413209784,637.3935944742273,640.869384765625,4043000
2022-06-20,646.6460767209529,652.7654467032478,636.4144781586615,647.5762329101562,3522551
2022-06-21,653.0591806113003,657.3672410888377,649.1427837260751,651.2968139648438,2355354
2022-06-22,652.080098284315,670.5850979502277,650.2197858118458,654.625732421875,3472810
2022-06-23,656.1923028306743,660.5982492779356,644.8347161331612,651.2478637695312,1798979
2022-06-24,655.3111183547685,659.4722901817569,645.3242940181012,647.821044921875,1743400
2022-06-27,655.9964177650868,655.9964177650868,647.8699069297413,650.9050903320312,1405766
2022-06-28,649.3875265841308,650.9051183506014,645.2263550982921,649.4854125976562,1004747
2022-06-29,646.3033973753409,682.2852951665968,644.0514810300963,664.31884765625,4653282
2022-06-30,664.3188350464053,669.4101630517142,656.9755907385969,659.8150024414062,1681412
2022-07-01,660.8919697166775,665.7385227798278,655.017374430307,662.5075073242188,1330472
2022-07-04,663.8292762983019,679.4948639395598,663.8292762983019,677.8303833007812,1832039
2022-07-05,683.4112152844916,697.9998167065304,682.432116122193,687.9640502929688,3662593
2022-07-06,692.2231524112816,698.6851833956312,686.8381066711655,688.2578125,1253320
2022-07-07,693.2022543617994,699.762231150169,681.4530636099046,683.460205078125,1843219
2022-07-08,686.5933043414176,695.9436896179875,686.5933043414176,693.3001098632812,2152750
2022-07-11,693.1533798568037,706.8118274076452,689.628586427194,703.1891479492188,1638255
2022-07-12,703.6786686051446,709.259546485694,699.4195508565377,702.6016235351562,1355821
2022-07-13,704.8534803014112,708.769876780909,700.4964772660762,703.8253784179688,887093
2022-07-14,705.0492536783329,706.1752415721485,694.1812773305418,697.4122924804688,874964
2022-07-15,704.4130444437918,706.1754113347412,690.3139897972325,693.69189453125,999239
2022-07-18,695.1604045969243,698.7341404398375,678.5157188530543,681.9425659179688,1620545
2022-07-19,682.4321976785994,684.3903962372182,673.6203041648156,674.4525146484375,1592940
2022-07-20,679.7885689625534,682.1873739768713,672.3963818853482,673.3265380859375,1377738
2022-07-21,673.6202941210151,678.5157904445691,672.6901378676447,673.1796875,799923
2022-07-22,674.6483787771419,679.7886502397752,673.3266185905427,674.2567749023438,948078
2022-07-25,673.6202470194775,675.578445411976,667.745651841982,669.6549072265625,671602
2022-07-26,669.7039129198602,670.4871803982802,660.8920193288094,661.2346801757812,662692
2022-07-27,660.8919926144155,665.3958252528864,658.8359080967386,660.2555541992188,690747
2022-07-28,662.8501517784842,665.0531249564777,659.9128542078263,660.7940673828125,741896
2022-07-29,662.0178841478644,669.5079564499409,660.8918962726501,663.6333618164062,1519288
2022-08-01,665.7874196260241,671.2703509426859,664.2208848953976,668.6268310546875,949173
2022-08-02,668.1373625679728,674.5504508040177,665.9833322323418,671.1725463867188,1061968
2022-08-03,670.6829625347793,673.6202601809171,662.8501688117454,664.1229858398438,951585
2022-08-04,667.7456520039453,669.1653577907456,656.6818430355398,659.619140625,1036357
2022-08-05,660.8919742074397,680.4250156192434,660.010761004707,672.9838256835938,3867024
