Date,Open,High,Low,Close,Volume
2010-01-04,1794.8497594920254,1841.4692337645456,1778.766040868006,1829.7677001953125,6976
2010-01-05,1864.7788495498155,1925.3841621601844,1847.0634504790921,1906.82958984375,19634
2010-01-06,1920.7219972978353,2288.1767189995753,1893.822588205886,1975.966064453125,29100
2010-01-07,1999.975294396118,2166.546572267344,1981.4208360984978,2100.346923828125,36846
2010-01-08,2118.3885067343354,2158.481246958621,2051.3498065757435,2069.950927734375,16820
2010-01-11,2107.199881032277,2191.114920542412,2074.6595845425477,2118.5283203125,34698
2010-01-12,2129.5776867538502,2129.5776867538502,2023.285280322178,2036.6651611328125,12655
2010-01-13,2027.8535436154925,2074.5663419646144,2027.8535436154925,2057.317138671875,9520
2010-01-14,2066.174963160007,2186.080334115456,2060.580626617155,2105.801513671875,13575
2010-01-15,2112.7945711393127,2125.8013589167163,2057.7835915730197,2070.370849609375,7277
2010-01-18,2052.236070061584,2087.340445659621,1995.2669773500384,2042.6790771484375,21665
2010-01-19,2050.3252002085997,2084.823623313519,2037.2717428175488,2038.0177001953125,9780
2010-01-20,2052.189397912986,2078.249640287864,2037.3178301291823,2044.96337890625,5778
2010-01-21,2027.9473911914856,2079.228819474489,1948.6942747541173,1973.076171875,29461
2010-01-22,1954.428203338955,1981.3277320727598,1911.3985179996037,1946.4097900390625,10850
2010-01-25,1962.7190957715325,1962.7190957715325,1860.6577484275526,1886.9207763671875,8905
2010-01-27,1892.6216303086123,1892.6216303086123,1845.8902320293873,1857.853515625,16648
2010-01-28,1878.6026007185412,1887.9488823141558,1842.24554249353,1855.0966796875,4278
2010-01-29,1823.5065342865958,1873.4155926998237,1766.4474326897569,1843.647705078125,10010
2010-02-01,1851.6851246795627,1894.4911368008902,1803.8322121488495,1857.0125732421875,11717
2010-02-02,1906.6413713656304,1908.9779416736767,1850.5636839725237,1867.7608642578125,6052
2010-02-03,1878.6025422339496,1892.6219641909195,1863.648492146515,1870.658203125,2230
2010-02-04,1851.4981778132008,1883.2287546590228,1822.524708094771,1823.6929931640625,4430
2010-02-05,1808.5052741772251,1878.6023778275053,1743.0813107702973,1819.9544677734375,7258
2010-02-08,1864.5831522392364,1930.0071224932447,1823.4595137938597,1873.7425537109375,7680
2010-02-09,1855.2369481240514,1934.6803438875497,1841.2175253422574,1855.423828125,8170
2010-02-10,1925.334007536477,1947.7650833524358,1825.32879452366,1835.0489501953125,100635
2010-02-11,1842.1990490595344,1892.6221972716899,1841.217643765545,1864.630126953125,24742
2010-02-15,1873.9290402747658,1886.0792036281684,1860.096500974762,1866.26513671875,2391
2010-02-16,1875.331378876486,1906.6414218330585,1860.8446425831467,1896.080078125,26271
2010-02-17,1906.6416617216214,1977.6734099034072,1906.6416617216214,1959.167724609375,11051
2010-02-18,1962.7187616909187,1981.4113213260703,1939.3530621469793,1965.1954345703125,8372
2010-02-19,1934.7735636500597,2016.92727568295,1915.9874490964075,1995.99169921875,5569
2010-02-22,2018.7970173452948,2112.259842222392,2008.5161066088142,2103.147216796875,37371
2010-02-23,2121.606065654186,2140.2986301092888,1996.3658838049962,2076.51025390625,25713
2010-02-24,2126.7455012128926,2126.7455012128926,2038.4231765085997,2052.302490234375,14800
2010-02-25,2009.4504433182074,2087.9124277827964,1962.7190376596445,1968.280029296875,14391
2010-02-26,2003.8432897847267,2028.143628186967,1968.280633525296,2001.086181640625,8879
2010-03-02,2010.384530828504,2049.1715870950698,2010.384530828504,2036.6942138671875,2562
